player_id,player_name,format,matches,innings,balls,runs,maidens,wickets,avg,eco,sr,bbi,bbm,4w,5w,10w
9975,Aizaz Khan,Test,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
9975,Aizaz Khan,ODI,19,19,734,681,2,16,42.56,5.57,45.88,2/26,2/26,0,0,0
9975,Aizaz Khan,T20,93,84,1577,2074,4,97,21.38,7.89,16.26,4/26,4/26,2,0,0
9975,Aizaz Khan,IPL,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
9980,Nizakat Khan,Test,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
9980,Nizakat Khan,ODI,20,6,145,119,1,4,29.75,4.92,36.25,1/11,1/11,0,0,0
9980,Nizakat Khan,T20,117,15,209,216,1,11,19.64,6.2,19.0,3/19,3/19,0,0,0
9980,Nizakat Khan,IPL,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
9982,Tanwir Afzal,Test,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
9982,Tanwir Afzal,ODI,20,19,852,600,14,19,31.58,4.23,44.84,3/20,3/20,0,0,0
9982,Tanwir Afzal,T20,21,21,426,509,2,19,26.79,7.17,22.42,2/8,2/8,0,0,0
9982,Tanwir Afzal,IPL,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
6557,Ben Stokes,Test,115,170,13160,7279,379,230,31.65,3.32,57.22,6/22,8/161,9,5,0
6557,Ben Stokes,ODI,114,88,3110,3137,8,74,42.39,6.05,42.03,5/61,5/61,1,1,0
6557,Ben Stokes,T20,43,36,612,856,1,26,32.92,8.39,23.54,3/26,3/26,0,0,0
6557,Ben Stokes,IPL,45,38,689,992,2,28,35.43,8.64,24.61,3/15,3/15,0,0,0
19636,Jacob Bethell,Test,4,4,128,94,1,3,31.33,4.41,42.67,3/72,3/72,0,0,0
19636,Jacob Bethell,ODI,15,11,232,304,1,8,38.0,7.86,29.0,2/33,2/33,0,0,0
19636,Jacob Bethell,T20,15,4,66,111,0,4,27.75,10.09,16.5,2/27,2/27,0,0,0
19636,Jacob Bethell,IPL,2,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
12258,Will Jacks,Test,2,4,327,232,5,6,38.67,4.26,54.5,6/161,6/199,0,1,0
12258,Will Jacks,ODI,21,13,324,357,1,6,59.5,6.61,54.0,3/22,3/22,0,0,0
12258,Will Jacks,T20,28,7,48,79,0,3,26.33,9.88,16.0,2/2,2/2,0,0,0
12258,Will Jacks,IPL,21,13,138,220,0,8,27.5,9.57,17.25,2/14,2/14,0,0,0
10045,Liam Livingstone,Test,1,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
10045,Liam Livingstone,ODI,39,31,968,982,2,25,39.28,6.09,38.72,3/16,3/16,0,0,0
10045,Liam Livingstone,T20,60,41,576,838,1,33,25.39,8.73,17.45,3/17,3/17,0,0,0
10045,Liam Livingstone,IPL,49,27,312,469,0,13,36.08,9.02,24.0,3/27,3/27,0,0,0
6670,Chris Woakes,Test,62,118,11219,5686,417,192,29.61,3.04,58.43,6/17,11/102,5,5,1
6670,Chris Woakes,ODI,122,118,5737,5193,53,173,30.02,5.43,33.16,6/45,6/45,11,3,0
6670,Chris Woakes,T20,33,33,611,822,1,31,26.52,8.07,19.71,3/4,3/4,0,0,0
6670,Chris Woakes,IPL,21,21,440,658,0,30,21.93,8.97,14.67,3/6,3/6,0,0,0
8512,Jamie Overton,Test,2,4,450,310,6,4,77.5,4.13,112.5,2/98,2/146,0,0,0
8512,Jamie Overton,ODI,7,6,188,180,0,7,25.71,5.74,26.86,3/22,3/22,0,0,0
8512,Jamie Overton,T20,13,9,147,210,0,12,17.5,8.57,12.25,3/20,3/20,0,0,0
8512,Jamie Overton,IPL,3,3,36,83,0,0,0.0,13.83,0.0,0/24,0/24,0,0,0
13681,Gus Atkinson,Test,13,25,2260,1387,66,63,22.02,3.68,35.87,7/45,12/106,2,4,1
13681,Gus Atkinson,ODI,11,11,472,528,0,13,40.62,6.71,36.31,2/28,2/28,0,0,0
13681,Gus Atkinson,T20,4,4,65,122,0,6,20.33,11.26,10.83,4/20,4/20,1,0,0
13681,Gus Atkinson,IPL,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
19767,Rehan Ahmed,Test,5,9,1038,687,19,22,31.23,3.97,47.18,5/48,7/137,1,1,0
19767,Rehan Ahmed,ODI,6,5,282,233,2,10,23.3,4.96,28.2,4/54,4/54,1,0,0
19767,Rehan Ahmed,T20,10,9,186,300,0,12,25.0,9.68,15.5,3/39,3/39,0,0,0
19767,Rehan Ahmed,IPL,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
10420,Sam Curran,Test,24,42,3091,1669,96,47,35.51,3.24,65.77,4/58,5/92,2,0,0
10420,Sam Curran,ODI,35,35,1325,1376,10,33,41.7,6.23,40.15,5/48,5/48,1,1,0
10420,Sam Curran,T20,60,59,1061,1484,2,57,26.04,8.39,18.61,5/10,5/10,0,1,0
10420,Sam Curran,IPL,64,63,1253,2033,0,59,34.46,9.74,21.24,4/11,4/11,1,0,0
11217,Keacy Carty,Test,7,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
11217,Keacy Carty,ODI,40,3,25,28,0,0,0.0,6.72,0.0,0/1,0/1,0,0,0
11217,Keacy Carty,T20,4,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
11217,Keacy Carty,IPL,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
8433,Justin Greaves,Test,9,14,738,418,15,15,27.87,3.4,49.2,3/56,4/75,0,0,0
8433,Justin Greaves,ODI,15,7,282,294,0,4,73.5,6.26,70.5,2/68,2/68,0,0,0
8433,Justin Greaves,T20,1,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
8433,Justin Greaves,IPL,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
13748,Sherfane Rutherford,Test,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
13748,Sherfane Rutherford,ODI,16,5,107,154,1,3,51.33,8.64,35.67,1/24,1/24,0,0,0
13748,Sherfane Rutherford,T20,39,4,54,92,0,2,46.0,10.22,27.0,1/20,1/20,0,0,0
13748,Sherfane Rutherford,IPL,23,6,41,59,0,1,59.0,8.63,41.0,1/6,1/6,0,0,0
8431,John Campbell,Test,23,2,61,30,0,0,0.0,2.95,0.0,0/10,0/10,0,0,0
8431,John Campbell,ODI,6,1,6,13,0,0,0.0,13,0.0,0/13,0/13,0,0,0
8431,John Campbell,T20,2,1,6,1,0,0,0.0,1,0.0,0/1,0/1,0,0,0
8431,John Campbell,IPL,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
9793,Gudakesh Motie,Test,11,19,1740,946,45,35,27.03,3.26,49.71,7/37,13/99,1,2,1
9793,Gudakesh Motie,ODI,31,30,1501,1160,8,38,30.53,4.64,39.5,4/23,4/23,2,0,0
9793,Gudakesh Motie,T20,39,37,738,977,0,36,27.14,7.94,20.5,3/22,3/22,0,0,0
9793,Gudakesh Motie,IPL,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
11543,Roston Chase,Test,52,77,6901,3980,129,86,46.28,3.46,80.24,8/60,8/60,4,4,0
11543,Roston Chase,ODI,63,54,2191,1804,9,39,46.26,4.94,56.18,3/30,3/30,0,0,0
11543,Roston Chase,T20,42,37,616,750,1,27,27.78,7.31,22.81,3/12,3/12,0,0,0
11543,Roston Chase,IPL,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
13646,Romario Shepherd,Test,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
13646,Romario Shepherd,ODI,39,37,1476,1359,13,33,41.18,5.52,44.73,3/37,3/37,0,0,0
13646,Romario Shepherd,T20,63,59,1112,1874,0,64,29.28,10.11,17.38,4/31,4/31,1,0,0
13646,Romario Shepherd,IPL,18,15,210,408,0,10,40.8,11.66,21.0,2/14,2/14,0,0,0
8313,Jason Holder,Test,69,122,11305,4924,484,162,30.4,2.61,69.78,6/42,11/103,4,8,1
8313,Jason Holder,ODI,138,134,6402,5878,64,159,36.97,5.51,40.26,5/27,5/27,5,2,0
8313,Jason Holder,T20,75,72,1600,2324,2,82,28.34,8.72,19.51,5/27,5/27,3,1,0
8313,Jason Holder,IPL,46,46,995,1461,0,53,27.57,8.81,18.77,4/52,4/52,1,0,0
7736,Andre Russell,Test,1,2,138,104,2,1,104.0,4.52,138.0,1/73,1/104,0,0,0
7736,Andre Russell,ODI,56,55,2290,2229,14,70,31.84,5.84,32.71,4/35,4/35,5,0,0
7736,Andre Russell,T20,86,75,1221,1919,0,61,31.46,9.43,20.02,3/19,3/19,0,0,0
7736,Andre Russell,IPL,139,121,1806,2863,0,123,23.28,9.51,14.68,5/15,5/15,2,1,0
11432,Senuran Muthusamy,Test,5,8,564,381,11,11,34.64,4.05,51.27,4/45,5/55,1,0,0
11432,Senuran Muthusamy,ODI,5,5,220,233,1,6,38.83,6.35,36.67,2/30,2/30,0,0,0
11432,Senuran Muthusamy,T20,5,5,108,128,0,5,25.6,7.11,21.6,2/24,2/24,0,0,0
11432,Senuran Muthusamy,IPL,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
18142,Lesego Senokwane,Test,1,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
18142,Lesego Senokwane,ODI,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
18142,Lesego Senokwane,T20,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
18142,Lesego Senokwane,IPL,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
14565,Marco Jansen,Test,18,32,2929,1696,86,77,22.03,3.47,38.04,7/13,11/86,5,3,1
14565,Marco Jansen,ODI,29,29,1397,1462,10,45,32.49,6.28,31.04,5/39,5/39,0,1,0
14565,Marco Jansen,T20,19,19,409,584,1,18,32.44,8.57,22.72,3/16,3/16,0,0,0
