player_id,player_name,format,matches,innings,runs,balls_faced,highest_score,average,strike_rate,not_out,fours,sixes,fifty_plus,hundreds,double_hundreds,high_score,avg,fifties,ducks
1755,Chris Foggo,T20,3,3,13,17.0,7.0,4.33,76.48,0,2,0,0.0,0,0.0,,,,
1755,Chris Foggo,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
664,David Hemp,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
664,David Hemp,ODI,22,22,641,912.0,102.0,33.74,70.29,3,68,7,4.0,1,0.0,,,,
664,David Hemp,T20,2,2,20,32.0,20.0,10.0,62.5,0,2,1,0.0,0,0.0,,,,
664,David Hemp,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
863,Kyle Hodsoll,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
863,Kyle Hodsoll,ODI,3,2,2,7.0,2.0,2.0,28.58,1,0,0,0.0,0,0.0,,,,
863,Kyle Hodsoll,T20,4,1,0,1.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
863,Kyle Hodsoll,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
670,Steven Outerbridge,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
670,Steven Outerbridge,ODI,23,23,336,612.0,56.0,14.61,54.91,0,30,2,1.0,0,0.0,,,,
670,Steven Outerbridge,T20,3,3,49,51.0,37.0,24.5,96.08,1,2,1,0.0,0,0.0,,,,
670,Steven Outerbridge,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
864,Azeem Pitcher,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
864,Azeem Pitcher,ODI,4,4,36,89.0,30.0,9.0,40.45,0,2,1,0.0,0,0.0,,,,
864,Azeem Pitcher,T20,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
864,Azeem Pitcher,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
660,Irving Romaine,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
660,Irving Romaine,ODI,35,34,783,1222.0,101.0,25.26,64.08,3,86,16,4.0,1,0.0,,,,
660,Irving Romaine,T20,2,2,9,20.0,8.0,4.5,45.0,0,0,0,0.0,0,0.0,,,,
660,Irving Romaine,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
866,Tamauri Tucker,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
866,Tamauri Tucker,ODI,5,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
866,Tamauri Tucker,T20,1,1,1,5.0,1.0,1.0,20.0,0,0,0,0.0,0,0.0,,,,
866,Tamauri Tucker,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
815,Trevin Bastiampillai,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
815,Trevin Bastiampillai,ODI,13,13,175,301.0,49.0,13.46,58.14,0,26,2,0.0,0,0.0,,,,
815,Trevin Bastiampillai,T20,2,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
815,Trevin Bastiampillai,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
675,John Davison,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
